,index,Course Code,file_name,Level
1,3,BQBD14,BQBD14.txt,2
2,4,BSPV14,BSPV14.txt,2
5,11,CDSV74,CDSV74.txt,2
7,18,CUJMEDI6,CUJMEDI6.txt,2
16,35,GASUE34,GASUE34.txt,2
36,87,LWDL31HD,LWDL31HD.txt,1
53,116,LWFST42,LWFST42.txt,2
54,117,LWFVVF35,LWFVVF35.txt,2
57,126,LWIMLP41,LWIMLP41.txt,2
63,132,LWJCSA15,LWJCSA15.txt,2
69,138,LWJIAB12,LWJIAB12.txt,2
97,201,LWST142,LWST142.txt,2
108,223,LWYBID94,LWYBID94.txt,2
115,273,SSIMDE42,SSIMDE42.txt,1
120,314,LWGVFL35,LWGVFL35.txt,2
124,322,JCLCT6,JCLCT6.txt,2
126,331,LWFEST14T,LWFEST14T.txt,2
