,index,Course Code,file_name,Level
3,7,CAAVD83,CAAVD83.txt,4
6,14,CSDI7,CSDI7.txt,4
8,20,CUSQL2PH,CUSQL2PH.txt,4
10,23,DMDP41,DMDP41.txt,4
11,24,DMNN71,DMNN71.txt,4
12,27,DSAGD1B,DSAGD1B.txt,4
14,33,GADE94,GADE94.txt,4
18,41,JDOSE8,JDOSE8.txt,4
20,46,LWABRC72,LWABRC72.txt,4
21,48,LWADML01,LWADML01.txt,4
22,49,LWAGLM42,LWAGLM42.txt,4
25,54,LWBAMP3,LWBAMP3.txt,4
26,56,LWBHLM42,LWBHLM42.txt,4
27,57,LWBMCE42,LWBMCE42.txt,4
30,60,LWBSE131,LWBSE131.txt,4
33,68,LWCLUS51,LWCLUS51.txt,4
38,89,LWDMDP42,LWDMDP42.txt,4
39,90,LWDMDT42,LWDMDT42.txt,4
43,94,LWDMNN5,LWDMNN5.txt,4
45,96,LWDOEF42,LWDOEF42.txt,4
46,101,LWDSAGD1,LWDSAGD1.txt,4
48,111,LWFETS42,LWFETS42.txt,4
49,112,LWFRFC62,LWFRFC62.txt,4
52,115,LWFSSM42,LWFSSM42.txt,4
55,118,LWGLIM42,LWGLIM42.txt,4
65,134,LWJDOS14,LWJDOS14.txt,4
66,135,LWJDRS13,LWJDRS13.txt,4
70,139,LWJMDE15,LWJMDE15.txt,4
71,140,LWJMIX10,LWJMIX10.txt,4
74,143,LWJMSD14,LWJMSD14.txt,4
76,145,LWJPMO15,LWJPMO15.txt,4
80,149,LWLONG42,LWLONG42.txt,4
83,154,LWMULT42,LWMULT42.txt,4
86,158,LWOROP32,LWOROP32.txt,4
88,168,LWPMA42,LWPMA42.txt,4
89,169,LWPMHP41,LWPMHP41.txt,4
95,188,LWSFMM42,LWSFMM42.txt,4
98,202,LWSTBA42,LWSTBA42.txt,4
100,204,LWSUV141,LWSUV141.txt,4
103,211,LWVBBF35,LWVBBF35.txt,4
104,212,LWVDMO35,LWVDMO35.txt,4
117,299,LWPMLR51,LWPMLR51.txt,4
121,315,CUAZSRV2,CUAZSRV2.txt,4
