,index,Course Code,file_name,Level
0,2,BNGDM17,BNGDM17.txt,3
4,8,CAAVS83,CAAVS83.txt,3
9,22,CUSVSO1,CUSVSO1.txt,3
13,32,FRFR62CU,FRFR62CU.txt,3
15,34,GAPOW94,GAPOW94.txt,3
17,40,JAMMD12,JAMMD12.txt,3
19,45,LWAAEM51,LWAAEM51.txt,3
23,52,LWAPIT62,LWAPIT62.txt,3
24,53,LWBADS41,LWBADS41.txt,3
28,58,LWBSD42,LWBSD42.txt,3
29,59,LWBSDM42,LWBSDM42.txt,3
31,61,LWCDAL42,LWCDAL42.txt,3
32,62,LWCDS01,LWCDS01.txt,3
34,70,LWCPML01,LWCPML01.txt,3
35,75,LWCSEM42,LWCSEM42.txt,3
37,88,LWDLUS35,LWDLUS35.txt,3
40,91,LWDMEX51,LWDMEX51.txt,3
41,92,LWDMHP42,LWDMHP42.txt,3
42,93,LWDMML35,LWDMML35.txt,3
44,95,LWDMTX5,LWDMTX5.txt,3
47,109,LWFESP4RT,LWFESP4RT.txt,3
50,113,LWFRSN62,LWFRSN62.txt,3
51,114,LWFSP42,LWFSP42.txt,3
56,121,LWHPF123,LWHPF123.txt,3
58,127,LWIMPM25,LWIMPM25.txt,3
59,128,LWINTN01,LWINTN01.txt,3
60,129,LWJAD13,LWJAD13.txt,3
61,130,LWJAMD14,LWJAMD14.txt,3
62,131,LWJATX14,LWJATX14.txt,3
64,133,LWJDCS15,LWJDCS15.txt,3
67,136,LWJFDE15,LWJFDE15.txt,3
68,137,LWJFIP15,LWJFIP15.txt,3
72,141,LWJMMD12,LWJMMD12.txt,3
73,142,LWJMSA13,LWJMSA13.txt,3
75,144,LWJMUL12,LWJMUL12.txt,3
77,146,LWJREL13,LWJREL13.txt,3
78,147,LWJSCR15,LWJSCR15.txt,3
79,148,LWJSPC13,LWJSPC13.txt,3
81,152,LWMLDB52,LWMLDB52.txt,3
82,153,LWMMUS42,LWMMUS42.txt,3
84,156,LWOMM12,LWOMM12.txt,3
85,157,LWOPCN51,LWOPCN51.txt,3
87,159,LWORVY34,LWORVY34.txt,3
90,170,LWPOSI01,LWPOSI01.txt,3
91,171,LWQC51,LWQC51.txt,3
92,176,LWROSI01,LWROSI01.txt,3
93,183,LWS20ML,LWS20ML.txt,3
94,186,LWSCA41,LWSCA41.txt,3
96,192,LWSP4R,LWSP4R.txt,3
99,203,LWSURV41,LWSURV41.txt,3
101,207,LWSVSO35,LWSVSO35.txt,3
102,208,LWSVTA01,LWSVTA01.txt,3
105,216,LWVMDM51,LWVMDM51.txt,3
106,217,LWVMM53,LWVMM53.txt,3
107,220,LWVYNA35,LWVYNA35.txt,3
109,245,OTRD34R,OTRD34R.txt,3
110,251,RCCLDA6,RCCLDA6.txt,3
111,252,RCECL10,RCECL10.txt,3
112,253,RECL2,RECL2.txt,3
113,254,RFW22,RFW22.txt,3
114,259,SCA41,SCA41.txt,3
116,298,LWXDS51,LWXDS51.txt,3
118,302,LWJDIS13,LWJDIS13.txt,3
119,308,LWJANR16,LWJANR16.txt,3
122,316,LWSTSM51,LWSTSM51.txt,3
123,319,LWAEM42C,LWAEM42C.txt,3
125,330,SXASTS14,SXASTS14.txt,3
