,index,Course Code,file_name,Level
0,16,CUJCOR2,CUJCOR2.txt,Fundamental
1,17,CUJJJ14,CUJJJ14.txt,Fundamental
2,19,CUJMPCG2,CUJMPCG2.txt,Fundamental
3,39,JAMAST14,JAMAST14.txt,Fundamental
5,86,LWDISDS2,LWDISDS2.txt,Fundamental
6,100,LWDS2H,LWDS2H.txt,Fundamental
8,103,LWEGRG82,LWEGRG82.txt,Fundamental
13,125,LWIMGS25,LWIMGS25.txt,Fundamental
23,197,LWSPAWM2,LWSPAWM2.txt,Fundamental
24,198,LWSPAXM4,LWSPAXM4.txt,Fundamental
25,199,LWSPGRD4,LWSPGRD4.txt,Fundamental
27,205,LWSVFL01,LWSVFL01.txt,Fundamental
28,209,LWUNIX1,LWUNIX1.txt,Fundamental
29,210,LWUNXM5,LWUNXM5.txt,Fundamental
31,225,LWYGS2V2,LWYGS2V2.txt,Fundamental
33,236,LWYVAG74,LWYVAG74.txt,Fundamental
36,248,PCPM1PDP,PCPM1PDP.txt,Fundamental
37,272,SPAICM5,SPAICM5.txt,Fundamental
38,276,TEAUNX1,TEAUNX1.txt,Fundamental
39,278,UGOOPDS2,UGOOPDS2.txt,Fundamental
40,292,LWTRYAA3,LWTRYAA3.txt,Fundamental
41,300,LWTRYEG7,LWTRYEG7.txt,Fundamental
42,304,JMAST14,JMAST14.txt,Fundamental
43,306,CUJSPC14,CUJSPC14.txt,Fundamental
44,307,ODSGNS17,ODSGNS17.txt,Fundamental
45,309,HCHVAX3,HCHVAX3.txt,Fundamental
47,323,MODA008,MODA008.txt,Fundamental
48,328,JINTRO13,JINTRO13.txt,Fundamental
