,index,Course Code,file_name,Level
4,73,LWCRBM6,LWCRBM6.txt,Intermediate
7,102,LWEGBS82,LWEGBS82.txt,Intermediate
9,104,LWEGSP71,LWEGSP71.txt,Intermediate
10,107,LWFEEGP7,LWFEEGP7.txt,Intermediate
11,119,LWGR94,LWGR94.txt,Intermediate
12,120,LWGRP1,LWGRP1.txt,Intermediate
15,155,LWODSGM6,LWODSGM6.txt,Intermediate
16,160,LWPCADM5,LWPCADM5.txt,Intermediate
17,162,LWPCDM7,LWPCDM7.txt,Intermediate
19,177,LWRP1,LWRP1.txt,Intermediate
20,189,LWSGAM6,LWSGAM6.txt,Intermediate
21,190,LWSGAV2,LWSGAV2.txt,Intermediate
22,191,LWSGPLM6,LWSGPLM6.txt,Intermediate
26,200,LWSQ1M6,LWSQ1M6.txt,Intermediate
30,215,LWVJOB01,LWVJOB01.txt,Intermediate
32,228,LWYOAA83,LWYOAA83.txt,Intermediate
34,246,PCAD94,PCAD94.txt,Intermediate
35,247,PCADM3,PCADM3.txt,Intermediate
46,318,LWFEP294T,LWFEP294T.txt,Intermediate
49,329,LWSSPG38,LWSSPG38.txt,Intermediate
