,index,Course Code,file_name,Level
0,16,CUJCOR2,CUJCOR2.txt,Fundamental
1,17,CUJJJ14,CUJJJ14.txt,Fundamental
2,19,CUJMPCG2,CUJMPCG2.txt,Fundamental
3,39,JAMAST14,JAMAST14.txt,Fundamental
4,73,LWCRBM6,LWCRBM6.txt,Intermediate
5,86,LWDISDS2,LWDISDS2.txt,Fundamental
6,100,LWDS2H,LWDS2H.txt,Fundamental
7,102,LWEGBS82,LWEGBS82.txt,Intermediate
8,103,LWEGRG82,LWEGRG82.txt,Fundamental
9,104,LWEGSP71,LWEGSP71.txt,Intermediate
10,107,LWFEEGP7,LWFEEGP7.txt,Intermediate
11,119,LWGR94,LWGR94.txt,Intermediate
12,120,LWGRP1,LWGRP1.txt,Intermediate
13,125,LWIMGS25,LWIMGS25.txt,Fundamental
14,151,LWMC1M6,LWMC1M6.txt,Expert
15,155,LWODSGM6,LWODSGM6.txt,Intermediate
16,160,LWPCADM5,LWPCADM5.txt,Intermediate
17,162,LWPCDM7,LWPCDM7.txt,Intermediate
18,165,LWPG3M6,LWPG3M6.txt,Expert
19,177,LWRP1,LWRP1.txt,Intermediate
20,189,LWSGAM6,LWSGAM6.txt,Intermediate
21,190,LWSGAV2,LWSGAV2.txt,Intermediate
22,191,LWSGPLM6,LWSGPLM6.txt,Intermediate
23,197,LWSPAWM2,LWSPAWM2.txt,Fundamental
24,198,LWSPAXM4,LWSPAXM4.txt,Fundamental
25,199,LWSPGRD4,LWSPGRD4.txt,Fundamental
26,200,LWSQ1M6,LWSQ1M6.txt,Intermediate
27,205,LWSVFL01,LWSVFL01.txt,Fundamental
28,209,LWUNIX1,LWUNIX1.txt,Fundamental
29,210,LWUNXM5,LWUNXM5.txt,Fundamental
30,215,LWVJOB01,LWVJOB01.txt,Intermediate
31,225,LWYGS2V2,LWYGS2V2.txt,Fundamental
32,228,LWYOAA83,LWYOAA83.txt,Intermediate
33,236,LWYVAG74,LWYVAG74.txt,Fundamental
34,246,PCAD94,PCAD94.txt,Intermediate
35,247,PCADM3,PCADM3.txt,Intermediate
36,248,PCPM1PDP,PCPM1PDP.txt,Fundamental
37,272,SPAICM5,SPAICM5.txt,Fundamental
38,276,TEAUNX1,TEAUNX1.txt,Fundamental
39,278,UGOOPDS2,UGOOPDS2.txt,Fundamental
40,292,LWTRYAA3,LWTRYAA3.txt,Fundamental
41,300,LWTRYEG7,LWTRYEG7.txt,Fundamental
42,304,JMAST14,JMAST14.txt,Fundamental
43,306,CUJSPC14,CUJSPC14.txt,Fundamental
44,307,ODSGNS17,ODSGNS17.txt,Fundamental
45,309,HCHVAX3,HCHVAX3.txt,Fundamental
46,318,LWFEP294T,LWFEP294T.txt,Intermediate
47,323,MODA008,MODA008.txt,Fundamental
48,328,JINTRO13,JINTRO13.txt,Fundamental
49,329,LWSSPG38,LWSSPG38.txt,Intermediate
