,index,Course Code,file_name,Level
7,13,CSAD71,CSAD71.txt,Fundamental
8,15,CSOV63,CSOV63.txt,Fundamental
11,26,DQESP31,DQESP31.txt,Fundamental
15,31,FQA61,FQA61.txt,Fundamental
17,37,IIME81,IIME81.txt,Fundamental
19,42,LSAF52,LSAF52.txt,Fundamental
23,50,LWAMLA81,LWAMLA81.txt,Fundamental
24,51,LWAMLO81,LWAMLO81.txt,Fundamental
29,66,LWCIS66,LWCIS66.txt,Fundamental
30,67,LWCIST66,LWCIST66.txt,Fundamental
32,71,LWCPMO81,LWCPMO81.txt,Fundamental
33,72,LWCPMW81,LWCPMW81.txt,Fundamental
34,74,LWCSA716,LWCSA716.txt,Fundamental
35,76,LWCSO714,LWCSO714.txt,Fundamental
36,77,LWCSOV71,LWCSOV71.txt,Fundamental
39,80,LWDESP61,LWDESP61.txt,Fundamental
52,122,LWIIM14,LWIIM14.txt,Fundamental
53,123,LWIIMA14,LWIIMA14.txt,Fundamental
54,124,LWIIMO82,LWIIMO82.txt,Fundamental
62,173,LWRIFS21,LWRIFS21.txt,Fundamental
65,178,LWRRE11C,LWRRE11C.txt,Fundamental
69,182,LWRTUS66,LWRTUS66.txt,Fundamental
72,187,LWSCD01_001,LWSCD01_001.txt,Fundamental
78,213,LWVIA105,LWVIA105.txt,Fundamental
79,214,LWVIB107,LWVIB107.txt,Fundamental
84,224,LWYBUFV2,LWYBUFV2.txt,Fundamental
86,227,LWYIMS94,LWYIMS94.txt,Fundamental
87,229,LWYOAF82,LWYOAF82.txt,Fundamental
88,230,LWYOAG82,LWYOAG82.txt,Fundamental
93,235,LWYVAF74,LWYVAF74.txt,Fundamental
98,241,LWYVAT01,LWYVAT01.txt,Fundamental
101,244,LWYWRS94,LWYWRS94.txt,Fundamental
102,249,PCT1ESP,PCT1ESP.txt,Fundamental
114,266,SMIPK324,SMIPK324.txt,Fundamental
116,268,SMISO34,SMISO34.txt,Fundamental
117,269,SMIZ32M4,SMIZ32M4.txt,Fundamental
120,274,STM54,STM54.txt,Fundamental
125,281,YBUFTM3,YBUFTM3.txt,Fundamental
126,282,YBUFTV2,YBUFTV2.txt,Fundamental
127,283,YOLPM2,YOLPM2.txt,Fundamental
129,285,YVAFT73,YVAFT73.txt,Fundamental
132,288,LWRTU63H,LWRTU63H.txt,Fundamental
142,303,VIB102H,VIB102H.txt,Fundamental
