,index,Course Code,file_name,Level
0,0,ABMO72,ABMO72.txt,Intermediate
1,1,AML62OV,AML62OV.txt,Intermediate
2,5,CAADP22,CAADP22.txt,Intermediate
3,6,CAAVA83,CAAVA83.txt,Intermediate
4,9,CAMP19SN,CAMP19SN.txt,Intermediate
5,10,CDD63OV,CDD63OV.txt,Intermediate
6,12,CLINAT26,CLINAT26.txt,Intermediate
9,21,CUSTVT01,CUSTVT01.txt,Intermediate
10,25,DMTOUR32,DMTOUR32.txt,Intermediate
12,28,EDU72OAV1,EDU72OAV1.txt,Intermediate
13,29,ERFW23,ERFW23.txt,Intermediate
14,30,FMREPT55,FMREPT55.txt,Intermediate
16,36,GAVAP73,GAVAP73.txt,Intermediate
18,38,ITRM34,ITRM34.txt,Intermediate
20,43,LSAFA53,LSAFA53.txt,Intermediate
21,44,LSAFP53,LSAFP53.txt,Intermediate
22,47,LWABTL72,LWABTL72.txt,Intermediate
25,55,LWBDID3,LWBDID3.txt,Intermediate
26,63,LWCIMA6O,LWCIMA6O.txt,Intermediate
27,64,LWCIMO6O,LWCIMO6O.txt,Intermediate
28,65,LWCIRT6O,LWCIRT6O.txt,Intermediate
31,69,LWCP20HS,LWCP20HS.txt,Intermediate
37,78,LWCUFQA6,LWCUFQA6.txt,Intermediate
38,79,LWDBDN32,LWDBDN32.txt,Intermediate
40,81,LWDG33,LWDG33.txt,Intermediate
41,82,LWDI1M4,LWDI1M4.txt,Intermediate
42,83,LWDIDP25,LWDIDP25.txt,Intermediate
43,84,LWDIFD42,LWDIFD42.txt,Intermediate
46,98,LWDQB26,LWDQB26.txt,Intermediate
47,99,LWDQFT29,LWDQFT29.txt,Intermediate
48,105,LWFEAEM4,LWFEAEM4.txt,Intermediate
49,106,LWFEDTX4,LWFEDTX4.txt,Intermediate
50,108,LWFEMC1,LWFEMC1.txt,Intermediate
51,110,LWFESQ1,LWFESQ1.txt,Intermediate
55,150,LWMADA66,LWMADA66.txt,Intermediate
56,161,LWPCCL61,LWPCCL61.txt,Intermediate
57,163,LWPCL61E,LWPCL61E.txt,Intermediate
58,164,LWPFM21,LWPFM21.txt,Intermediate
59,166,LWPGSKL2,LWPGSKL2.txt,Intermediate
60,167,LWPGVY01,LWPGVY01.txt,Intermediate
61,172,LWRI7O11,LWRI7O11.txt,Intermediate
63,174,LWRIRM36,LWRIRM36.txt,Intermediate
64,175,LWRMRU7X,LWRMRU7X.txt,Intermediate
66,179,LWRRMS11,LWRRMS11.txt,Intermediate
67,180,LWRSDC31,LWRSDC31.txt,Intermediate
68,181,LWRSTW6,LWRSTW6.txt,Intermediate
70,184,LWSAVA34,LWSAVA34.txt,Intermediate
71,185,LWSAVI35,LWSAVI35.txt,Intermediate
74,194,LWSPAMM5,LWSPAMM5.txt,Intermediate
75,195,LWSPASM5,LWSPASM5.txt,Intermediate
76,196,LWSPAVM5,LWSPAVM5.txt,Intermediate
77,206,LWSVFT35,LWSVFT35.txt,Intermediate
