,index,Course Code,file_name,Level
3,3,BQBD14,BQBD14.txt,Fundamental
4,4,BSPV14,BSPV14.txt,Fundamental
13,13,CSAD71,CSAD71.txt,Fundamental
15,15,CSOV63,CSOV63.txt,Fundamental
16,16,CUJCOR2,CUJCOR2.txt,Fundamental
17,17,CUJJJ14,CUJJJ14.txt,Fundamental
18,18,CUJMEDI6,CUJMEDI6.txt,Fundamental
19,19,CUJMPCG2,CUJMPCG2.txt,Fundamental
26,26,DQESP31,DQESP31.txt,Fundamental
31,31,FQA61,FQA61.txt,Fundamental
37,37,IIME81,IIME81.txt,Fundamental
39,39,JAMAST14,JAMAST14.txt,Fundamental
42,42,LSAF52,LSAF52.txt,Fundamental
50,50,LWAMLA81,LWAMLA81.txt,Fundamental
51,51,LWAMLO81,LWAMLO81.txt,Fundamental
66,66,LWCIS66,LWCIS66.txt,Fundamental
67,67,LWCIST66,LWCIST66.txt,Fundamental
71,71,LWCPMO81,LWCPMO81.txt,Fundamental
72,72,LWCPMW81,LWCPMW81.txt,Fundamental
74,74,LWCSA716,LWCSA716.txt,Fundamental
76,76,LWCSO714,LWCSO714.txt,Fundamental
77,77,LWCSOV71,LWCSOV71.txt,Fundamental
80,80,LWDESP61,LWDESP61.txt,Fundamental
86,86,LWDISDS2,LWDISDS2.txt,Fundamental
87,87,LWDL31HD,LWDL31HD.txt,Fundamental
100,100,LWDS2H,LWDS2H.txt,Fundamental
103,103,LWEGRG82,LWEGRG82.txt,Fundamental
116,116,LWFST42,LWFST42.txt,Fundamental
117,117,LWFVVF35,LWFVVF35.txt,Fundamental
122,122,LWIIM14,LWIIM14.txt,Fundamental
123,123,LWIIMA14,LWIIMA14.txt,Fundamental
124,124,LWIIMO82,LWIIMO82.txt,Fundamental
125,125,LWIMGS25,LWIMGS25.txt,Fundamental
126,126,LWIMLP41,LWIMLP41.txt,Fundamental
132,132,LWJCSA15,LWJCSA15.txt,Fundamental
138,138,LWJIAB12,LWJIAB12.txt,Fundamental
173,173,LWRIFS21,LWRIFS21.txt,Fundamental
178,178,LWRRE11C,LWRRE11C.txt,Fundamental
182,182,LWRTUS66,LWRTUS66.txt,Fundamental
187,187,LWSCD01_001,LWSCD01_001.txt,Fundamental
197,197,LWSPAWM2,LWSPAWM2.txt,Fundamental
198,198,LWSPAXM4,LWSPAXM4.txt,Fundamental
199,199,LWSPGRD4,LWSPGRD4.txt,Fundamental
201,201,LWST142,LWST142.txt,Fundamental
205,205,LWSVFL01,LWSVFL01.txt,Fundamental
209,209,LWUNIX1,LWUNIX1.txt,Fundamental
210,210,LWUNXM5,LWUNXM5.txt,Fundamental
213,213,LWVIA105,LWVIA105.txt,Fundamental
214,214,LWVIB107,LWVIB107.txt,Fundamental
224,224,LWYBUFV2,LWYBUFV2.txt,Fundamental
225,225,LWYGS2V2,LWYGS2V2.txt,Fundamental
227,227,LWYIMS94,LWYIMS94.txt,Fundamental
229,229,LWYOAF82,LWYOAF82.txt,Fundamental
230,230,LWYOAG82,LWYOAG82.txt,Fundamental
235,235,LWYVAF74,LWYVAF74.txt,Fundamental
236,236,LWYVAG74,LWYVAG74.txt,Fundamental
241,241,LWYVAT01,LWYVAT01.txt,Fundamental
244,244,LWYWRS94,LWYWRS94.txt,Fundamental
248,248,PCPM1PDP,PCPM1PDP.txt,Fundamental
249,249,PCT1ESP,PCT1ESP.txt,Fundamental
266,266,SMIPK324,SMIPK324.txt,Fundamental
268,268,SMISO34,SMISO34.txt,Fundamental
269,269,SMIZ32M4,SMIZ32M4.txt,Fundamental
272,272,SPAICM5,SPAICM5.txt,Fundamental
273,273,SSIMDE42,SSIMDE42.txt,Fundamental
274,274,STM54,STM54.txt,Fundamental
276,276,TEAUNX1,TEAUNX1.txt,Fundamental
278,278,UGOOPDS2,UGOOPDS2.txt,Fundamental
281,281,YBUFTM3,YBUFTM3.txt,Fundamental
282,282,YBUFTV2,YBUFTV2.txt,Fundamental
283,283,YOLPM2,YOLPM2.txt,Fundamental
285,285,YVAFT73,YVAFT73.txt,Fundamental
288,288,LWRTU63H,LWRTU63H.txt,Fundamental
292,292,LWTRYAA3,LWTRYAA3.txt,Fundamental
300,300,LWTRYEG7,LWTRYEG7.txt,Fundamental
303,303,VIB102H,VIB102H.txt,Fundamental
304,304,JMAST14,JMAST14.txt,Fundamental
306,306,CUJSPC14,CUJSPC14.txt,Fundamental
307,307,ODSGNS17,ODSGNS17.txt,Fundamental
309,309,HCHVAX3,HCHVAX3.txt,Fundamental
322,322,JCLCT6,JCLCT6.txt,Fundamental
323,323,MODA008,MODA008.txt,Fundamental
328,328,JINTRO13,JINTRO13.txt,Fundamental
331,331,LWFEST14T,LWFEST14T.txt,Fundamental
