,index,Course Code,file_name,Level
2,2,BNGDM17,BNGDM17.txt,Expert
7,7,CAAVD83,CAAVD83.txt,Expert
11,11,CDSV74,CDSV74.txt,Expert
14,14,CSDI7,CSDI7.txt,Expert
20,20,CUSQL2PH,CUSQL2PH.txt,Expert
23,23,DMDP41,DMDP41.txt,Expert
24,24,DMNN71,DMNN71.txt,Expert
27,27,DSAGD1B,DSAGD1B.txt,Expert
33,33,GADE94,GADE94.txt,Expert
35,35,GASUE34,GASUE34.txt,Expert
41,41,JDOSE8,JDOSE8.txt,Expert
46,46,LWABRC72,LWABRC72.txt,Expert
48,48,LWADML01,LWADML01.txt,Expert
49,49,LWAGLM42,LWAGLM42.txt,Expert
52,52,LWAPIT62,LWAPIT62.txt,Expert
53,53,LWBADS41,LWBADS41.txt,Expert
54,54,LWBAMP3,LWBAMP3.txt,Expert
56,56,LWBHLM42,LWBHLM42.txt,Expert
57,57,LWBMCE42,LWBMCE42.txt,Expert
58,58,LWBSD42,LWBSD42.txt,Expert
59,59,LWBSDM42,LWBSDM42.txt,Expert
60,60,LWBSE131,LWBSE131.txt,Expert
68,68,LWCLUS51,LWCLUS51.txt,Expert
75,75,LWCSEM42,LWCSEM42.txt,Expert
85,85,LWDIFTM4,LWDIFTM4.txt,Expert
89,89,LWDMDP42,LWDMDP42.txt,Expert
90,90,LWDMDT42,LWDMDT42.txt,Expert
94,94,LWDMNN5,LWDMNN5.txt,Expert
96,96,LWDOEF42,LWDOEF42.txt,Expert
97,97,LWDQ329,LWDQ329.txt,Expert
101,101,LWDSAGD1,LWDSAGD1.txt,Expert
111,111,LWFETS42,LWFETS42.txt,Expert
112,112,LWFRFC62,LWFRFC62.txt,Expert
115,115,LWFSSM42,LWFSSM42.txt,Expert
118,118,LWGLIM42,LWGLIM42.txt,Expert
121,121,LWHPF123,LWHPF123.txt,Expert
127,127,LWIMPM25,LWIMPM25.txt,Expert
134,134,LWJDOS14,LWJDOS14.txt,Expert
135,135,LWJDRS13,LWJDRS13.txt,Expert
139,139,LWJMDE15,LWJMDE15.txt,Expert
140,140,LWJMIX10,LWJMIX10.txt,Expert
143,143,LWJMSD14,LWJMSD14.txt,Expert
145,145,LWJPMO15,LWJPMO15.txt,Expert
149,149,LWLONG42,LWLONG42.txt,Expert
151,151,LWMC1M6,LWMC1M6.txt,Expert
154,154,LWMULT42,LWMULT42.txt,Expert
158,158,LWOROP32,LWOROP32.txt,Expert
165,165,LWPG3M6,LWPG3M6.txt,Expert
168,168,LWPMA42,LWPMA42.txt,Expert
169,169,LWPMHP41,LWPMHP41.txt,Expert
183,183,LWS20ML,LWS20ML.txt,Expert
188,188,LWSFMM42,LWSFMM42.txt,Expert
193,193,LWSPAFM6,LWSPAFM6.txt,Expert
202,202,LWSTBA42,LWSTBA42.txt,Expert
204,204,LWSUV141,LWSUV141.txt,Expert
211,211,LWVBBF35,LWVBBF35.txt,Expert
212,212,LWVDMO35,LWVDMO35.txt,Expert
222,222,LWYBAFV2,LWYBAFV2.txt,Expert
223,223,LWYBID94,LWYBID94.txt,Expert
233,233,LWYVA201,LWYVA201.txt,Expert
251,251,RCCLDA6,RCCLDA6.txt,Expert
252,252,RCECL10,RCECL10.txt,Expert
253,253,RECL2,RECL2.txt,Expert
254,254,RFW22,RFW22.txt,Expert
270,270,SPAFT94,SPAFT94.txt,Expert
271,271,SPAFTM3,SPAFTM3.txt,Expert
280,280,YBAFTM3,YBAFTM3.txt,Expert
299,299,LWPMLR51,LWPMLR51.txt,Expert
314,314,LWGVFL35,LWGVFL35.txt,Expert
315,315,CUAZSRV2,CUAZSRV2.txt,Expert
324,324,DIFT49,DIFT49.txt,Expert
326,326,FMDA54,FMDA54.txt,Expert
327,327,EBHF45,EBHF45.txt,Expert
